rank,Video,Video views,Likes,Dislikes,Category,published
70,JoJo Siwa - Guilty Pleasure (Official Music Video),"3,870,451","39,264",,Music,2024
71,"Rema, Shallipopi - BENIN BOYS","3,795,164","112,684",,Music,2024
72,Remember Me (기억해줘요 내 모든 날과 그때를),"5,272,487","20,088",,Music,2024
73,Можно я с тобой (can i come with you),"2,218,610","92,278",,Music,2024
74,Isadora Pompeo - Ovelhinha (Ao Vivo),"2,934,585","66,830",,Music,2024
75,新時代 (ウタ from ONE PIECE FILM RED),"4,321,634","156,105",,Music,2022
76,Massimo Pericolo - Moneylove (Visual Video) ft. Emis Killa,"3,824,053","36,936",,Music,2023
77,La nevedere,"2,960,493","22,343",,Music,2022
78,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,"5,767,744","98,070",,Music,2022
79,"ILLENIUM, Jon Bellion - Good Things Fall Apart (Lyric Video)","3,474,334","108,128","1,292",Music,2019
80,"Chencho Corleone, Peso Pluma - HUMO (Official Video)","8,915,202","199,564",,Music,2024
81,we were in love (2024) (... 사랑했잖아... (2024)),"3,630,534","22,217",,Music,2024
82,"Yovie Widianto, Ziva Magnolya - Menanti (Official Music Video)","3,264,026","58,596",,Music,2023
83,"Jay Wheeler, Anuel AA, Hades66 - Pacto (Remix) (Official Video) ft. Bryant Myers, Dei V","16,651,507","517,095",,Music,2023
84,Aslay feat. Harmonize - Follow Me (Official Music Video),"1,397,658","44,137",,Music,2022
85,Eden Muñoz - todo me vale madre,"1,144,941","30,525",,Music,2024
86,ROSONES,"1,143,334","27,036",,Music,2024
87,Chlöe - Have Mercy (Official Video),"1,329,956","192,472","2,173",Music,2021
88,Sofia Castro - Te Juro No Te Miento (Official Video),"2,581,581","135,813",,Music,2024
89,Chema Rivas - LA ROJA (CANCIÓN MUNDIAL) (Video Oficial),"726,826","39,271",,Music,2022
90,Lil Loaded ft. YG - “Gang Unit Remix” (Official Video),"1,736,200","127,492","1,363",Music,2020
91,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),"45,990,411","1,128,880",,Music,2023
92,"Jay Wheeler, Dei V, Hades66 - Pacto (Official Video) ft. Luar La L","20,502,045","180,683",,Music,2023
93,MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video],"3,266,571","920,096","5,819",Music,2020
94,Teresa & Maria,"11,757,639","160,328",,Music,2024
95,Fedez - Prima di ogni cosa (Official Video),"4,833,788","202,477","7,131",Music,2018
96,"SEVDALIZA - ALIBI | Live From Vevo Studios ft. PABLLO VITTAR, YSEULT","5,368,532","223,418",,Music,2024
97,Luck Ra - ROBAME UN BESO (Official Video),"1,891,707","41,102",,Music,2024
98,AIELLO - ORA (Official Video - Sanremo 2021),"1,132,390","23,083",887,Music,2021
99,JADE - Angel Of My Dreams (Official Video),"5,396,154","214,969",,Music,2024
